,Compound_ID,SMILES,Calculated pChEMBL
0,13a,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(C(N)=O)CC4)C(OCC5)=C2,7.06
1,13b,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(C(C(C)(C)C)=O)CC4)C(OCC5)=C2,7.31
2,13c,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(C(C6(C#N)CC6)=O)CC4)C(OCC5)=C2,7.72
3,13d,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(C(C6COC6)=O)CC4)C(OCC5)=C2,7.89
4,13e,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(C(OC6COC6)=O)CC4)C(OCC5)=C2,7.11
5,13f,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(C([C@@H]6CCOC6)=O)CC4)C(OCC5)=C2,8.0
6,13g,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(C(C6=CC=NN6C)=O)CC4)C(OCC5)=C2,7.4
7,13h,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(C(C6=CN=CC=C6)=O)CC4)C(OCC5)=C2,7.29
8,13i,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(C)CC4)C(OCC5)=C2,7.52
9,13j,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(C(C)C)CC4)C(OCC5)=C2,7.12
10,13k,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(C(F)(F)F)CC4)C(OCC5)=C2,7.8
11,13l,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(CC#N)CC4)C(OCC5)=C2,7.15
12,13m,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(CCOC)CC4)C(OCC5)=C2,7.96
13,13n,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(CC6COC6)CC4)C(OCC5)=C2,7.54
14,13o,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(C6=CC=NN6C)CC4)C(OCC5)=C2,7.47
15,13p,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN([C@@H]6COCC6)CC4)C(OCC5)=C2,7.28
16,5,CC1=NC(N[C@H](C)C2=CC(N)=CC(C(F)(F)F)=C2)=C3C(C=C4C(OCCO4)=C3)=N1,6.16
17,10,CC1=NC2=C(C(N[C@H](C)C3=CC(N)=CC(C(F)(F)F)=C3)=N1)C=C(N(C(C)=O)CCO4)C4=C2,6.11
18,14,CC1=NC(N[C@H](C)C2=CC(N)=CC(C(F)(F)F)=C2)=C3C(C=C4C(N5[C@H](COCC5)CO4)=C3)=N1,7.42
19,22a,NC1=CC(C(F)(F)F)=CC([C@@H](C)NC2=NC(C)=NC3=CC(OC[C@@H]4N5CCN(C)C4)=C5C=C32)=C1,7.96
20,22b,NC1=CC(C(F)(F)F)=CC([C@@H](C)NC2=NC(C)=NC3=CC(OC[C@@H]4N5CCN(C(C)=O)C4)=C5C=C32)=C1,8.33
21,22c,NC1=CC(C(F)(F)F)=CC([C@@H](C)NC2=NC(C)=NC3=CC(OC[C@H]4N5CCN(C(C)=O)C4)=C5C=C32)=C1,7.32
22,22d,NC1=CC(C(F)(F)F)=CC([C@@H](C)NC2=NC(C)=NC3=CC(OC[C@@H]4N5CCN(C6CCOCC6)C4)=C5C=C32)=C1,7.32
23,22e,NC1=CC(C(F)(F)F)=CC([C@@H](C)NC2=NC(C)=NC3=CC(OC[C@@H]4N5CCN(C6COC6)C4)=C5C=C32)=C1,7.35
24,22f,CC1=NC2=CC(OC[C@@H]3N4CCN(C(C)=O)C3)=C4C=C2C(N[C@H](C)C5=CC=CC(C(CCO)(F)F)=C5F)=N1,8.85
25,22g,CC1=NC2=CC(OC[C@@H]3N4CCN(C(C)=O)C3)=C4C=C2C(N[C@H](C)C5=CC=CC(C(C(C)(O)C)(F)F)=C5F)=N1,8.0
26,22h,CC1=NC2=CC(OC[C@@H]3N4CCN(C(C)=O)C3)=C4C=C2C(N[C@H](C)C5=CC=CC(C(F)F)=C5F)=N1,8.62
27,22i,CC1=NC2=CC(OC[C@H]3N4CCN(C(C)=O)C3)=C4C=C2C(N[C@H](C)C5=CC=CC(C(F)F)=C5F)=N1,7.42
28,22j,CC1=NC2=CC(OCC3N4CCN(C(C)=O)C3)=C4C=C2C(N[C@H](C)C5=CC=CC(C(F)F)=C5F)=N1,7.72
29,24,CC1=NC2=CC(OC[C@@H]3N4CCN(C(OC)=O)C3)=C4C=C2C(N[C@H](C)C5=CC=CC(C(F)F)=C5F)=N1,7.66
30,25,CC1=NC2=CC(OC[C@@H]3N4CCN(C(COC)=O)C3)=C4C=C2C(N[C@H](C)C5=CC=CC(C(F)F)=C5F)=N1,8.0
31,26,CC1=NC2=CC(OC[C@@H]3N4CCN(C(CCOC)=O)C3)=C4C=C2C(N[C@H](C)C5=CC=CC(C(F)F)=C5F)=N1,8.02
