Molecule ChEMBL ID,Standard Value,Calculated pChEMBL,index,Smiles
CHEMBL1173811,16100.0,4.79,600,O=C(O)c1ccccc1-c1ccccc1C(=O)Nc1cc2c3ccccc3ccc2c2ccccc12
CHEMBL1194871,330000.0,3.48,552,Clc1ccc(-c2[nH]nc3c2CNCC3)cc1
CHEMBL1197658,16400.0,4.79,142,Cc1cccc(Nc2nc(NCc3ccco3)c3ccccc3n2)c1
CHEMBL1198227,9700.0,5.01,375,Clc1cccc(Nc2nc(NCc3ccco3)c3ccccc3n2)c1
CHEMBL1314048,350000.0,3.46,341,Nc1nc2ccccc2n1Cc1ccc(Cl)cc1
CHEMBL1399619,29100.0,4.54,288,O=C1c2ccccc2C(=O)c2c1ccc(C(=O)O)c2-c1ccc2ccccc2c1
CHEMBL1624889,63000.0,4.2,368,Fc1ccc(CN2C3=NCCCN3c3ccccc32)cc1
CHEMBL1740406,23200.0,4.63,523,Cc1cc2c(cc1C)N(Cc1ccccc1)C1=NCCCN12
CHEMBL1988909,10167.68,4.99,190,O=C1Oc2ccccc2C(=O)/C1=C/N1C(=O)/C(=C/c2ccc([N+](=O)[O-])cc2)SC1=S
CHEMBL2086797,25000.0,4.6,1,CC[C@H](C)[C@H](NC(=O)CN1C/C=C\CCC(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCC(=O)O)C1=O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(N)=O)C(N)=O
CHEMBL4160162,8500.0,5.07,55,COc1ccc2[nH]cc(C[C@H](N)C(=O)NC3CCN(Cc4c[nH]c5ccc(Cl)cc45)CC3)c2c1
CHEMBL4160484,1400.0,5.85,601,N[C@@H](Cc1c[nH]c2cc(Cl)ccc12)C(=O)NC1CCN(Cc2c[nH]c3ccc(Cl)cc23)CC1
CHEMBL4160864,37300.0,4.43,399,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N1CCC2(CC1)CN(Cc1c[nH]c3ccc(Cl)cc13)C2
CHEMBL4162049,5900.0,5.23,820,Cc1ccc2[nH]cc(C[C@H](N)C(=O)NC3CCN(Cc4c[nH]c5ccc(Cl)cc45)CC3)c2c1
CHEMBL4162765,4400.0,5.36,856,Cc1ccc2c(C[C@H](N)C(=O)N3CC4CN(Cc5c[nH]c6ccc(Cl)cc56)CC4C3)c[nH]c2c1
CHEMBL4163523,14200.0,4.85,827,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NC1CCN(Cc2c[nH]c3ccc(Br)cc23)CC1
CHEMBL4164266,4500.0,5.35,50,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N1CCC2(CN(Cc3c[nH]c4ccc(Cl)cc34)C2)C1
CHEMBL4164690,800.0,6.1,73,N[C@@H](Cc1c[nH]c2cc(Cl)ccc12)C(=O)N1CC2CN(Cc3c[nH]c4ccc(Cl)cc34)CC2C1
