,Calculated pChEMBL,Predictive Results,,Compound_ID,SMILES
0,7.06,7.680212738,,13a,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(C(N)=O)CC4)C(OCC5)=C2
1,7.31,7.680905357,,13b,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(C(C(C)(C)C)=O)CC4)C(OCC5)=C2
2,7.72,7.606840595,,13c,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(C(C6(C#N)CC6)=O)CC4)C(OCC5)=C2
3,7.89,7.646035714,,13d,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(C(C6COC6)=O)CC4)C(OCC5)=C2
4,7.11,7.656864048,,13e,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(C(OC6COC6)=O)CC4)C(OCC5)=C2
5,8,7.627444524,,13f,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(C([C@@H]6CCOC6)=O)CC4)C(OCC5)=C2
6,7.4,7.585644048,,13g,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(C(C6=CC=NN6C)=O)CC4)C(OCC5)=C2
7,7.29,7.60271369,,13h,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(C(C6=CN=CC=C6)=O)CC4)C(OCC5)=C2
8,7.52,7.74997381,,13i,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(C)CC4)C(OCC5)=C2
9,7.12,7.711689762,,13j,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(C(C)C)CC4)C(OCC5)=C2
