,SMILES,pChEMBL Value
0,O=C(O)c1ccccc1-c1ccccc1C(=O)Nc1cc2c3ccccc3ccc2c2ccccc12,4.79
1,Clc1ccc(-c2[nH]nc3c2CNCC3)cc1,3.48
2,Cc1cccc(Nc2nc(NCc3ccco3)c3ccccc3n2)c1,4.79
3,Clc1cccc(Nc2nc(NCc3ccco3)c3ccccc3n2)c1,5.01
4,Nc1nc2ccccc2n1Cc1ccc(Cl)cc1,3.46
5,O=C1c2ccccc2C(=O)c2c1ccc(C(=O)O)c2-c1ccc2ccccc2c1,4.54
6,Fc1ccc(CN2C3=NCCCN3c3ccccc32)cc1,4.2
7,Cc1cc2c(cc1C)N(Cc1ccccc1)C1=NCCCN12,4.63
8,O=C1Oc2ccccc2C(=O)/C1=C/N1C(=O)/C(=C/c2ccc([N+](=O)[O-])cc2)SC1=S,4.99
9,CC[C@H](C)[C@H](NC(=O)CN1C/C=C\CCC(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCC(=O)O)C1=O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(N)=O)C(N)=O,4.6
10,COc1ccc2[nH]cc(C[C@H](N)C(=O)NC3CCN(Cc4c[nH]c5ccc(Cl)cc45)CC3)c2c1,5.07
11,N[C@@H](Cc1c[nH]c2cc(Cl)ccc12)C(=O)NC1CCN(Cc2c[nH]c3ccc(Cl)cc23)CC1,5.85
12,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N1CCC2(CC1)CN(Cc1c[nH]c3ccc(Cl)cc13)C2,4.43
13,Cc1ccc2[nH]cc(C[C@H](N)C(=O)NC3CCN(Cc4c[nH]c5ccc(Cl)cc45)CC3)c2c1,5.23
14,Cc1ccc2c(C[C@H](N)C(=O)N3CC4CN(Cc5c[nH]c6ccc(Cl)cc56)CC4C3)c[nH]c2c1,5.36
15,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NC1CCN(Cc2c[nH]c3ccc(Br)cc23)CC1,4.85
16,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N1CCC2(CN(Cc3c[nH]c4ccc(Cl)cc34)C2)C1,5.35
17,N[C@@H](Cc1c[nH]c2cc(Cl)ccc12)C(=O)N1CC2CN(Cc3c[nH]c4ccc(Cl)cc34)CC2C1,6.1
18,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NC1CCN(Cc2c[nH]c3ccc(Cl)cc23)CC1,5.02
19,Cc1ccc2[nH]cc(CN3CCC(NC(=O)[C@@H](N)Cc4c[nH]c5ccccc45)CC3)c2c1,4.6
20,COc1ccc2c(C[C@H](N)C(=O)NC3CCN(Cc4c[nH]c5ccc(Cl)cc45)CC3)c[nH]c2c1,4.82
21,N[C@@H](Cc1c[nH]c2ccc(Cl)cc12)C(=O)NC1CCN(Cc2c[nH]c3ccc(Cl)cc23)CC1,5.8
22,N[C@@H](Cc1c[nH]c2cc(Cl)ccc12)C(=O)N1CCC2(CC1)CCN2Cc1c[nH]c2ccc(Cl)cc12,6.1
23,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N1CCC2(CC1)CCN2Cc1c[nH]c2ccc(Cl)cc12,5.54
24,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NC1CCN(Cc2c[nH]c3ccc(C(F)(F)F)cc23)CC1,4.95
25,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCC1CCN(Cc2c[nH]c3ccc(Cl)cc23)CC1,4.88
26,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N1CC2CN(Cc3c[nH]c4ccc(Cl)cc34)CC2C1,5.17
27,Cc1ccc2c(C[C@H](N)C(=O)N3CCC4(CC3)CCN4Cc3c[nH]c4ccc(Cl)cc34)c[nH]c2c1,6.1
28,N[C@@H](Cc1c[nH]c2cc(C(F)(F)F)ccc12)C(=O)NC1CCN(Cc2c[nH]c3ccc(Cl)cc23)CC1,5.21
29,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NC1CCN(Cc2c[nH]c3ccc(F)cc23)CC1,4.8
30,N[C@@H](Cc1c[nH]c2ccc(C(F)(F)F)cc12)C(=O)NC1CCN(Cc2c[nH]c3ccc(Cl)cc23)CC1,5.11
31,Cc1ccc2c(C[C@H](N)C(=O)NC3CCN(Cc4c[nH]c5ccc(Cl)cc45)CC3)c[nH]c2c1,5.51
