,SMILES,pChEMBL Value
19,Cc1cccc([C@@H](C)Nc2nc(C)nc3ccc(-c4ccn(CC(=O)N(C)C)c(=O)c4)cc23)c1,9.0
209,Cc1nc(N[C@H](C)c2cc(N)cc(C(F)(F)F)c2)c2cc([C@H]3CC[C@H](C(=O)N(C)C[C@H](C)O)CC3)ccc2n1,8.7
129,COc1cc2nc(C)nc(N[C@H](C)c3cc(N)cc(C(F)(F)F)c3)c2cc1C1CCN(C(C)=O)CC1,8.7
162,COc1cc2nc(C)nc(N[C@H](C)c3cccc(C(F)(F)F)c3F)c2cc1C1(O)CCN(C(C)=O)CC1,8.7
160,Cc1nc(N[C@H](C)c2cc(N)cc(C(F)(F)F)c2)c2cc([C@H]3CC[C@H](C(=O)N(C)C)CC3)c(C)cc2n1,8.7
38,COCC(=O)N1CC=C(c2cc3c(N[C@H](C)c4cccc(C(F)(F)CO)c4)nc(C)nc3cc2OC)CC1,8.7
155,COCCN1CCN(C(=O)[C@H]2CC[C@H](c3ccc4nc(C)nc(N[C@H](C)c5cc(N)cc(C(F)(F)F)c5)c4c3)CC2)CC1,8.7
40,COc1cc2nc(C)nc(N[C@H](C)c3cc(N)cc(C(F)(F)F)c3F)c2cc1[C@H]1CC[C@H](C(=O)N(C)C)CC1,8.7
139,Cc1nc(N[C@H](C)c2cc(N)cc(C(F)(F)F)c2)c2cc([C@H]3CC[C@H](C(=O)N4CCOCC4)CC3)ccc2n1,8.7
51,COCC(=O)N1CCC(c2cc3c(N[C@H](C)c4cccc(C(F)(F)CO)c4)nc(C)nc3cc2OC)CC1,8.7
128,COc1cc2nc(C)nc(N[C@H](C)c3cccc(C(F)(F)CO)c3)c2cc1C1=CCC(C(=O)N(C)C)CC1,8.7
121,COc1cc2nc(C)nc(N[C@H](C)c3cc(N)cc(C(F)(F)F)c3C)c2cc1[C@H]1CC[C@H](C(=O)N(C)C[C@@H](C)O)CC1,8.7
112,COc1cc2nc(C)nc(N[C@H](C)c3cc(N)cc(C(F)(F)F)c3)c2cc1[C@H]1CC[C@H](C(=O)N(C)C)CC1,8.7
73,COc1cc2nc(C)nc(N[C@H](C)c3cc(N)cc(C(F)(F)F)c3)c2cc1[C@H]1CC[C@H](C(=O)N2CCOCC2)CC1,8.7
103,COc1cc2nc(C)nc(N[C@H](C)c3cccc(C(F)(F)CO)c3)c2cc1C1=CCN(C(C)=O)CC1,8.7
101,COc1cc2nc(C)nc(N[C@H](C)c3cc(N)cc(C(F)(F)F)c3F)c2cc1C1CCN(C(C)=O)CC1,8.7
97,COCCN(C)C(=O)[C@H]1CC[C@H](c2ccc3nc(C)nc(N[C@H](C)c4cc(N)cc(C(F)(F)F)c4)c3c2)CC1,8.7
91,COc1cc2nc(C)nc(N[C@H](C)c3cccc(C(F)(F)CO)c3)c2cc1C1CCN(C(C)=O)CC1,8.7
167,COc1cc2nc(C)nc(N[C@H](C)c3cc(N)cc(C(F)(F)F)c3)c2cc1[C@H]1CC[C@H](C(=O)N2CCN(C)CC2)CC1,8.7
84,COCC(=O)N1CCC(c2ccc3nc(C)nc(N[C@H](C)c4cc(N)cc(C(F)(F)F)c4)c3c2)CC1,8.7
206,COc1cc2nc(C)nc(N[C@H](C)c3cc(N)cc(C(F)(F)F)c3C)c2cc1[C@H]1CC[C@H](C(=O)N(C)CCO)CC1,8.7
204,COc1cc2nc(C)nc(N[C@H](C)c3cc(N)cc(C(F)(F)F)c3C)c2cc1[C@H]1CC[C@@H](C(=O)N(C)CCO)CC1,8.7
