Compound_ID,SMILES,Calculated pChEMBL,DLD-1 p-ERK inhibition IC50 [nM]
13a,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(C(N)=O)CC4)C(OCC5)=C2,7.06,88
13b,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(C(C(C)(C)C)=O)CC4)C(OCC5)=C2,7.31,49
13c,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(C(C6(C#N)CC6)=O)CC4)C(OCC5)=C2,7.72,19
13d,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(C(C6COC6)=O)CC4)C(OCC5)=C2,7.89,13
13e,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(C(OC6COC6)=O)CC4)C(OCC5)=C2,7.11,78
13f,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(C([C@@H]6CCOC6)=O)CC4)C(OCC5)=C2,8,10
13g,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(C(C6=CC=NN6C)=O)CC4)C(OCC5)=C2,7.4,40
13h,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(C(C6=CN=CC=C6)=O)CC4)C(OCC5)=C2,7.29,51
13i,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(C)CC4)C(OCC5)=C2,7.52,30
13j,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(C(C)C)CC4)C(OCC5)=C2,7.12,75
13k,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(C(F)(F)F)CC4)C(OCC5)=C2,7.8,16
13l,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(CC#N)CC4)C(OCC5)=C2,7.15,70
13m,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(CCOC)CC4)C(OCC5)=C2,7.96,11
13n,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(CC6COC6)CC4)C(OCC5)=C2,7.54,29
13o,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN(C6=CC=NN6C)CC4)C(OCC5)=C2,7.47,34
13p,CC1=NC2=C(C(N[C@H](C)C3=C(F)C(C(F)F)=CC=C3)=N1)C=C(N4[C@@H]5CN([C@@H]6COCC6)CC4)C(OCC5)=C2,7.28,53
