Compound_ID,SMILES,Calculated pChEMBL,DLD-1 p-ERK inhibition IC50 [nM]
5,CC1=NC(N[C@H](C)C2=CC(N)=CC(C(F)(F)F)=C2)=C3C(C=C4C(OCCO4)=C3)=N1,6.16,690
10,CC1=NC2=C(C(N[C@H](C)C3=CC(N)=CC(C(F)(F)F)=C3)=N1)C=C(N(C(C)=O)CCO4)C4=C2,6.11,780
14,CC1=NC(N[C@H](C)C2=CC(N)=CC(C(F)(F)F)=C2)=C3C(C=C4C(N5[C@H](COCC5)CO4)=C3)=N1,7.42,38
22a,NC1=CC(C(F)(F)F)=CC([C@@H](C)NC2=NC(C)=NC3=CC(OC[C@@H]4N5CCN(C)C4)=C5C=C32)=C1,7.96,11
22b,NC1=CC(C(F)(F)F)=CC([C@@H](C)NC2=NC(C)=NC3=CC(OC[C@@H]4N5CCN(C(C)=O)C4)=C5C=C32)=C1,8.33,4.7
22c,NC1=CC(C(F)(F)F)=CC([C@@H](C)NC2=NC(C)=NC3=CC(OC[C@H]4N5CCN(C(C)=O)C4)=C5C=C32)=C1,7.32,48
22d,NC1=CC(C(F)(F)F)=CC([C@@H](C)NC2=NC(C)=NC3=CC(OC[C@@H]4N5CCN(C6CCOCC6)C4)=C5C=C32)=C1,7.32,48
22e,NC1=CC(C(F)(F)F)=CC([C@@H](C)NC2=NC(C)=NC3=CC(OC[C@@H]4N5CCN(C6COC6)C4)=C5C=C32)=C1,7.35,45
22f,CC1=NC2=CC(OC[C@@H]3N4CCN(C(C)=O)C3)=C4C=C2C(N[C@H](C)C5=CC=CC(C(CCO)(F)F)=C5F)=N1,8.85,1.4
22g,CC1=NC2=CC(OC[C@@H]3N4CCN(C(C)=O)C3)=C4C=C2C(N[C@H](C)C5=CC=CC(C(C(C)(O)C)(F)F)=C5F)=N1,8,10
22h,CC1=NC2=CC(OC[C@@H]3N4CCN(C(C)=O)C3)=C4C=C2C(N[C@H](C)C5=CC=CC(C(F)F)=C5F)=N1,8.62,2.4
22i,CC1=NC2=CC(OC[C@H]3N4CCN(C(C)=O)C3)=C4C=C2C(N[C@H](C)C5=CC=CC(C(F)F)=C5F)=N1,7.42,38
22j,CC1=NC2=CC(OCC3N4CCN(C(C)=O)C3)=C4C=C2C(N[C@H](C)C5=CC=CC(C(F)F)=C5F)=N1,7.72,19
24,CC1=NC2=CC(OC[C@@H]3N4CCN(C(OC)=O)C3)=C4C=C2C(N[C@H](C)C5=CC=CC(C(F)F)=C5F)=N1,7.66,22
25,CC1=NC2=CC(OC[C@@H]3N4CCN(C(COC)=O)C3)=C4C=C2C(N[C@H](C)C5=CC=CC(C(F)F)=C5F)=N1,8,10
26,CC1=NC2=CC(OC[C@@H]3N4CCN(C(CCOC)=O)C3)=C4C=C2C(N[C@H](C)C5=CC=CC(C(F)F)=C5F)=N1,8.02,9.5
27,CC1=NC2=CC(OC[C@@H]3N4CCN(C(NC)=O)C3)=C4C=C2C(N[C@H](C)C5=CC=CC(C(F)F)=C5F)=N1,7.82,15
28,CC1=NC2=CC(OC[C@@H]3N4CCN(C(NCC)=O)C3)=C4C=C2C(N[C@H](C)C5=CC=CC(C(F)F)=C5F)=N1,7.49,32
29,CC1=NC2=CC(OC[C@@H]3N4CCN(C(N(C)C)=O)C3)=C4C=C2C(N[C@H](C)C5=CC=CC(C(F)F)=C5F)=N1,8.54,2.9
30,CC1=NC2=CC(OC[C@@H]3N4CCN(C(C(C)(C)C)=O)C3)=C4C=C2C(N[C@H](C)C5=CC=CC(C(F)F)=C5F)=N1,7.85,14
31,CC1=NC2=CC(OC[C@@H]3N4CCN(C(C5CC5)=O)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1,9.05,0.9
32,CC1=NC2=CC(OC[C@@H]3N4CCN(C(C5(C)CC5)=O)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1,8.05,9
33,CC1=NC2=CC(OC[C@@H]3N4CCN(C(C5(F)CC5)=O)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1,8.1,8
34,CC1=NC2=CC(OC[C@@H]3N4CCN(C([C@@H]5C[C@H]5F)=O)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1,7.6,25
35,CC1=NC2=CC(OC[C@@H]3N4CCN(C([C@@H]5C[C@@H]5F)=O)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1,7.8,16
