Compound,SMILES,Calculated pChEMBL,MKN1 Cell IC50 (nM)
8,COC1=C(OC)C=C(C=NN=C2N[C@@H](C3=CC=CC(C(F)(F)F)=C3)C)C2=C1,6.02,958
10,COC1=C(OC)C=C(C=NN=C2N[C@@H](C3=CC=CC(C(F)(F)F)=C3C)C)C2=C1,6.42,378
11,CNCC1=C(C2=CSC([C@@H](C)NC3=NN=CC4=CC(OC)=C(OC)C=C43)=C2)C=CC=C1,6.78,165
12,COC1=C(OC)C=C(C(C)=NN=C2N[C@@H](C3=CC(C4=C(CNC)C=CC=C4)=CS3)C)C2=C1,6.6,249
13,COC1=C(OC)C=C(C(C)=NN=C2N[C@@H](C3=CC=CC(C(F)(F)F)=C3C)C)C2=C1,6.71,195
14,CC1=C(C(F)(F)F)C=CC=C1[C@@H](C)NC2=NN=C(C)C3=CC=C(N(C)C)C=C32,7.24,57
15,CC1=NN=C(N[C@H](C)C2=CC=CC(C(F)(F)F)=C2C)C3=CC(N4CCNCC4)=CC=C31,7.34,46
16,CC1=C(C(F)(F)F)C=CC=C1[C@H](NC2=NN=C(C)C3=CC=C(C4CCNCC4)C=C23)C,6.74,183
17,CC1=NN=C(N[C@H](C)C2=CC=CC(C(F)(F)F)=C2C)C3=CC(N4CC(N(C)CC4)=O)=CC=C31,7.13,74
20,CN(C)C1=NN=C(C2=CC(N3CCNCC3)=CC=C12)N[C@H](C)C4=CC=CC(C(F)(F)F)=C4C,6.75,176
21,O=C1NN=C(C2=CC(N3CCNCC3)=CC=C12)N[C@H](C)C4=CC=CC(C(F)(F)F)=C4C,6.94,114
22,C[C@H](C1=CC=CC(C(F)(F)F)=C1C)NC2=NN(C)C(C3=CC=C(N4CCNCC4)C=C32)=O,6.06,881
23,C[C@H](C1=CC=CC(C(F)(F)F)=C1C)NC2=NN=C(C)C3=CN=C(N4CCNCC4)C=C32,7.52,30
24,C[C@H](C1=CC=CC(C(F)(F)F)=C1C)NC2=NN=C(C)C3=CN=C(N4CCOCC4)C=C32,7.59,26
25,FC1=C(C(F)(F)F)C=CC=C1[C@@H](C)NC2=NN=C(C)C3=CN=C(N4CCOCC4)C=C32,7.6,25
26,C[C@H](C1=CC=CC(C(F)(F)F)=N1)NC2=NN=C(C)C3=CN=C(N4CCOCC4)C=C32,6.73,185
27,NC1=CC(C(F)(F)F)=NC([C@@H](C)NC2=NN=C(C)C3=CN=C(N4CCOCC4)C=C32)=C1,6.68,208
28,C[C@H](C1=CC=CN=C1C)NC2=NN=C(C)C3=CN=C(N4CCOCC4)C=C32,5.89,1274
29,C[C@H](C1=CN(C)N=C1C)NC2=NN=C(C)C3=CN=C(N4CCOCC4)C=C32,5.48,3278
30,C[C@H](C1=CN(C)N=C1C(F)(F)F)NC2=NN=C(C)C3=CN=C(N4CCOCC4)C=C32,5.94,1151
31,CC1=C(Br)C=CC=C1[C@@H](C)NC2=NN=C(C)C3=C2C=C(N4CCOCC4)N=C3,6.94,114
32 (MRTX0902),CC1=C(C#N)C=CC=C1[C@@H](C)NC2=NN=C(C)C3=CN=C(N4CCOCC4)C=C32,7.54,29
33,C[C@H](C1=CC=CC(S(=O)(C)=O)=C1C)NC2=NN=C(C)C3=CN=C(N4CCOCC4)C=C32,6.62,242
34,C[C@H](C1=CC=CC(C#N)=C1)NC2=NN=C(C)C3=CN=C(N4CCOCC4)C=C32,6.48,333
35,CC1=C(C#N)C=CC=C1[C@@H](C)NC2=NN=C(C)C3=CC(F)=C(N4CCOCC4)C=C32,6.92,120
36,CC1=C(C#N)C=CC=C1[C@@H](C)NC2=NN=C(C)C3=CC(Cl)=C(N4CCOCC4)C=C32,6.54,286
37,CC1=C(C#N)C=CC=C1[C@@H](C)NC2=NN=C(C)C3=CC(C#N)=C(N4CCOCC4)C=C32,6.31,490
38,CC1=C(C#N)C=CC=C1[C@@H](C)NC2=NN=C(C)C3=CC(C(F)(F)F)=C(N4CCOCC4)C=C32,6.11,779
,,, 
